"id_sscc","Periodo","Edad_media_de_la_población","Porcentaje_de_población_menor_de_18_años","Porcentaje_de_población_de_65_y_más_años","Tamaño_medio_del_hogar","Porcentaje_de_hogares_unipersonales","Población","Porcentaje_de_población_española","Índice_de_Gini","Distribución_de_la_renta_P80/P20","Renta_neta_media_por_persona_","Renta_neta_media_por_hogar","Media_de_la_renta_por_unidad_de_consumo","Mediana_de_la_renta_por_unidad_de_consumo","Renta_bruta_media_por_persona","Renta_bruta_media_por_hogar","tipo_eleccion","anyo_proceso","mes_proceso","id_ca","n_censo_ine","n_escrutinio_censo","n_escrutinio_censo_extr","n_votantes_censo_extr","n_partici_primer_av","n_partici_segund_av","n_vot_blanco","n_vot_nulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","N_VOTOS","P_PSOE","P_PP","P_Cs","P_ERC","P_VOX","P_JUNTS","P_PODEMOS_IU","P_CUP"
"0801901014",2019,40.3,14.4,12.7,2.75,32.5,1649,48.5,30.4,2.4,9483,26821,14355,12950,10993,31091,2,2019,11,9,908,908,0,0,300,423,0,0,160,29,21,68,0,36,0,88,0,0,31,433,0.369515011547344,0.0669745958429561,0.0484988452655889,0.157043879907621,0,0.0831408775981524,0.203233256351039,0.0715935334872979
"0801901015",2019,38.5,15.3,10.8,2.68,32,2256,44.4,34.3,3.1,9840,27847,14881,12950,11526,32619,2,2019,11,9,923,923,0,0,290,434,7,3,155,45,29,89,22,38,0,97,0,0,33,508,0.30511811023622,0.0885826771653543,0.0570866141732283,0.175196850393701,0.0433070866141732,0.0748031496062992,0.190944881889764,0.0649606299212598
"0801901016",2019,38.7,14.6,10,2.87,30,2136,43.4,29.3,2.4,9845,29258,14801,13650,11683,34721,2,2019,11,9,838,838,0,0,257,392,10,1,158,43,25,58,13,42,0,65,0,0,28,432,0.365740740740741,0.099537037037037,0.0578703703703704,0.134259259259259,0.0300925925925926,0.0972222222222222,0.150462962962963,0.0648148148148148
"0801901017",2019,37.7,15.7,9.6,2.9,31.8,2565,44.3,31.3,2.6,9108,27588,14044,12950,10564,31997,2,2019,11,9,960,960,0,0,260,424,5,1,171,38,28,78,22,30,0,97,0,0,27,491,0.34826883910387,0.0773930753564155,0.0570264765784114,0.158859470468432,0.044806517311609,0.0610997963340122,0.19755600814664,0.054989816700611
"0801901018",2019,40.7,14.7,14.4,2.67,35.4,1454,51.3,32.7,2.7,9488,27205,14133,12250,10976,31472,2,2019,11,9,725,725,0,0,245,351,1,2,118,32,24,72,26,34,0,73,0,0,28,407,0.28992628992629,0.0786240786240786,0.058968058968059,0.176904176904177,0.0638820638820639,0.0835380835380835,0.179361179361179,0.0687960687960688
"0801901019",2019,38.4,13.2,11,2.51,37,2828,41.6,35.6,2.9,9591,25567,14113,12250,11333,30211,2,2019,11,9,1109,1109,0,0,348,504,4,6,170,36,44,92,24,43,0,123,0,0,55,587,0.289608177172061,0.0613287904599659,0.0749574105621806,0.156729131175468,0.0408858603066439,0.0732538330494037,0.20954003407155,0.0936967632027257
"0801901020",2019,42.5,8.6,16.2,2.28,39.5,2047,56.3,35.8,3.2,14766,35218,21008,17150,18219,43452,2,2019,11,9,1123,1123,0,0,449,631,4,2,148,38,37,136,24,118,0,167,0,0,68,736,0.201086956521739,0.0516304347826087,0.0502717391304348,0.184782608695652,0.0326086956521739,0.160326086956522,0.226902173913043,0.0923913043478261
"0801901021",2019,40.6,9,14.2,2.11,44.9,2109,52.8,37.2,3.4,13643,29980,18978,15750,17060,37487,2,2019,11,9,1067,1067,0,0,401,601,2,4,140,58,39,128,34,83,0,140,0,0,68,690,0.202898550724638,0.0840579710144927,0.0565217391304348,0.185507246376812,0.0492753623188406,0.120289855072464,0.202898550724638,0.0985507246376812
"0801901022",2019,43.1,8.6,16.6,2.1,39.7,1269,53.1,39.2,3.7,17640,37791,25105,20650,22912,49085,2,2019,11,9,688,688,0,0,253,372,2,1,66,35,16,100,18,82,0,86,0,0,47,450,0.146666666666667,0.0777777777777778,0.0355555555555556,0.222222222222222,0.04,0.182222222222222,0.191111111111111,0.104444444444444
"0801901023",2019,41.3,9.5,14.1,2.19,39.9,2022,55.1,37.8,3.4,14500,33108,20826,17150,18201,41560,2,2019,11,9,1073,1073,0,0,417,587,5,3,113,51,46,136,24,90,0,144,0,0,72,676,0.167159763313609,0.0754437869822485,0.0680473372781065,0.201183431952663,0.0355029585798817,0.133136094674556,0.21301775147929,0.106508875739645
"0801901025",2019,39.6,8.3,11.7,2.13,40.1,1304,45.4,42.5,4.3,13328,29779,19042,15750,16846,37638,2,2019,11,9,567,567,0,0,217,322,2,3,52,18,24,64,21,62,0,79,0,0,47,367,0.141689373297003,0.0490463215258856,0.0653950953678474,0.174386920980926,0.0572207084468665,0.168937329700272,0.215258855585831,0.128065395095368
"0801901026",2019,42.1,9.7,16.2,2.2,40.3,1404,26.5,39.6,3.4,13691,31867,20240,15750,17449,40613,2,2019,11,9,1264,1264,0,0,312,467,3,1,105,37,29,91,23,56,0,129,0,0,58,528,0.198863636363636,0.0700757575757576,0.0549242424242424,0.172348484848485,0.0435606060606061,0.106060606060606,0.244318181818182,0.109848484848485
"0801901027",2019,41.6,8,14.7,2.23,39.9,1488,51.9,38.3,3.6,12411,29251,18113,15050,15119,35635,2,2019,11,9,756,756,0,0,271,393,4,0,85,29,16,93,15,50,0,138,0,0,32,458,0.185589519650655,0.0633187772925764,0.0349344978165939,0.203056768558952,0.0327510917030568,0.109170305676856,0.301310043668122,0.0698689956331878
"0801901028",2019,39.3,9.2,12.5,2.21,40.7,1828,46.2,38.9,3.4,12606,29402,18195,15050,15402,35924,2,2019,11,9,815,815,0,0,259,398,1,2,94,32,19,83,11,63,0,122,0,0,65,489,0.192229038854806,0.065439672801636,0.0388548057259714,0.169734151329243,0.0224948875255624,0.128834355828221,0.249488752556237,0.132924335378323
"0801901029",2019,38.3,8,10.8,2.27,39.3,1349,40.4,39.1,4.1,10936,26225,15927,12950,13342,31995,2,2019,11,9,539,539,0,0,164,260,0,2,61,19,17,48,10,26,0,71,0,0,36,288,0.211805555555556,0.0659722222222222,0.0590277777777778,0.166666666666667,0.0347222222222222,0.0902777777777778,0.246527777777778,0.125
