"pais","codigo_pais","anio","poblacion","gini","dualismo_sectorial","pib","inversion_extranjera","diversidad_etnica","tipo_regimen","gasto_educ","gasto_salud","gasto_segsocial","bal_legislativo","represion"
"Argentina","ARG",2011,24.6366271972656,41,6.58921135196822,,1.9220740044078,,4,,,,-0.0194499976933002,0
"Argentina","ARG",2012,24.4150524139404,,6.30945359411208,,2.54063786428203,,4,,,,-0.0350499972701073,0
"Bahamas","BHS",1970,42.1549873352051,46.7,,19067,,0,0,,,,0,0
"Bahamas","BHS",1971,41.8808631896973,,,18956.1,,0,0,,,,0,0
"Bahamas","BHS",1972,41.6016273498535,,,17880.7,,0,0,,,,0,0
"Bahamas","BHS",1973,41.2801895141602,45.3,,18798.2,,0,0,5,2.6,0.7,0.236842095851898,0
"Bahamas","BHS",1974,40.8742446899414,,,15418.7,,0,4,5.8,2.7,0.6,0.236842095851898,0
"Bahamas","BHS",1975,40.3574714660645,54.1,,12880.9,,0,4,4.4,2.4,0.6,0.236842095851898,0
"Bahamas","BHS",1976,39.7231788635254,,,13104.4,2.27378913169288,0,4,4.9,2.8,0.5,0.236842095851898,0
"Bahamas","BHS",1977,39.0015106201172,49.2,,14338.6,4.40392707312763,0,4,4.2,2.5,0.5,0.236842095851898,0
"Bahamas","BHS",1978,38.2529983520508,,,15835.6,-0.132148005898606,0,4,4.1,2.5,0.5,0.315789513289928,0
"Bahamas","BHS",1979,37.5561790466309,52.8,,18616.3,0.842252953794266,0,4,3.7,2.2,0.4,0.315789513289928,0
"Bahamas","BHS",1980,36.9581298828125,,,19739.8,0.307047105826406,0,4,4.1,2.8,0.5,0.315789513289928,0
"Bahamas","BHS",1981,36.4807510375977,,,17831.9,2.41149667258324,0,4,4.1,2.7,0.6,0.315789513289928,0
"Bahamas","BHS",1982,36.0991325378418,,,18647.2,0.177406069999366,0,4,4.4,3,0.7,0.315789513289928,0
"Bahamas","BHS",1983,35.7645301818848,,,19098.4,-0.346260388157894,0,4,4.8,3.4,0.9,0.244185999035835,0
"Bahamas","BHS",1984,35.407844543457,,,21037.4,-0.240066631068214,0,4,4.8,3.5,0.8,0.244185999035835,0
"Bahamas","BHS",1985,34.9853401184082,,,21778.1,-1.30133155088255,0,4,4.4,3.3,1,0.244185999035835,0
"Bahamas","BHS",1986,34.4809417724609,48.1,-2.91598837437837,21696.7,-0.533872598584428,0,4,4.1,3.1,0.6,0.244185999035835,0
"Bahamas","BHS",1987,33.9198913574219,,,21817.8,0.397936639570252,0,4,,,,0.244185999035835,0
"Bahamas","BHS",1988,33.351375579834,40.6,,21787.5,1.30238830334646,0,4,3.8,3.1,0.7,0.153061255812645,0
"Bahamas","BHS",1989,32.8420600891113,44.5,-2.05608695514458,22967,0.829523187459177,0,4,3.5,2.9,0.7,0.153061255812645,0
"Bahamas","BHS",1990,32.4345207214355,,,22052.8,-0.54643082754264,0,4,3.5,2.8,0.8,0.153061255812645,0
"Bahamas","BHS",1991,32.1376304626465,41.8,-1.88109225319962,21461.6,-0.0417850576633796,0,4,3.6,2.8,0.8,0.153061255812645,0
"Bahamas","BHS",1992,31.9233207702637,41.9,-2.05552558853781,20481.5,0.0096494049533612,0,4,4.3,3,0.9,0.153061255812645,0
"Bahamas","BHS",1993,31.7522735595703,45.3,-2.56199636023933,19641.9,0.876455368693402,0,4,4.4,2.8,0.9,-0.153061211109161,0
"Bahamas","BHS",1994,31.5724029541016,,-2.24250375335634,20013.3,0.71801166001841,0,4,3.9,3,0.9,-0.153061211109161,0
"Bahamas","BHS",1995,31.3440456390381,,-0.95525533581446,20886.6,3.11461067366579,0,4,3.9,3,1.1,-0.153061211109161,0
"Bahamas","BHS",1996,31.06374168396,,-1.87194445881598,21740.3,2.43280687170961,0,4,,,,-0.153061211109161,0
"Bahamas","BHS",1997,30.7357635498047,,-0.42512513972702,22157,4.23291600141016,0,4,3.6,2.7,1,-0.375,0
"Bahamas","BHS",1998,30.3384304046631,,-0.50727869073885,23320.6,2.74398695139874,0,4,3.4,2.7,1,-0.375,0
"Bahamas","BHS",1999,29.8535995483398,,-1.33327228946761,23364.1,2.48007798042914,0,4,3.2,2.6,1.1,-0.375,0
"Bahamas","BHS",2000,29.275354385376,,,24155.8,3.95492601246105,0,4,3.3,2.7,1.1,-0.375,0
"Bahamas","BHS",2001,28.604808807373,57.5,-1.57987736496956,24098.6,1.57089891725059,0,4,3.3,2.8,1.1,-0.375,0
"Bahamas","BHS",2002,27.8628273010254,,-0.57611089459457,24595.4,2.19589088582402,,4,3.3,2.7,1.1,0.275000013411045,0
"Bahamas","BHS",2003,27.0834922790527,48,-0.23452629982997,24327.1,2.73695961775811,,4,3.4,2.9,1,0.275000013411045,0
"Bahamas","BHS",2004,26.3076915740967,43,-2.05721193350135,24756.9,3.85655585599541,,4,3.5,3.1,1,0.275000013411045,0
"Bahamas","BHS",2005,25.5633754730225,,-1.3058546886352,27460,7.3111662238643,,4,3.3,3,1.1,0.275000013411045,0
"Bahamas","BHS",2006,24.8583221435547,,-0.0481524830100701,28596,8.867895251424,,4,,,,0.275000013411045,0
"Bahamas","BHS",2007,24.1930255889893,,0.0267347803371698,29117.1,8.57495303519799,,4,,,,-0.0609999895095825,0
"Bahamas","BHS",2008,23.5735206604004,,-0.60681245781876,29343.9,10.4303710843797,,4,,,,-0.0609999895095825,0
"Bahamas","BHS",2009,23.005033493042,,-0.84482273285425,28390.6,8.49008109538873,,4,,,,-0.0609999895095825,0
"Bahamas","BHS",2010,22.4913864135742,,,,11.0236409608091,,4,,,,-0.0609999895095825,0
"Bahamas","BHS",2011,22.0298042297363,,-1.39426819855755,,8.40525784894716,,4,,,,-0.0609999895095825,0
"Bahamas","BHS",2012,21.6219482421875,,,,6.40188587419394,,4,,,,0.263199992477894,0
"Barbados","BRB",1970,37.0876235961914,42.6,,14264,4.76584021800275,0,4,1.2,1.3,6.5,0.375000014901161,0
"Barbados","BRB",1971,36.0683555603027,37.6,,14239.2,7.89287270396584,0,4,1.1,1.2,5.9,0.375000014901161,0
"Barbados","BRB",1972,34.8481788635254,34.5,,14138.8,7.40417802272205,0,4,1.2,1.5,6.3,0.5,0
"Barbados","BRB",1973,33.5632629394531,32.8,,15252.5,1.9716587560911,0,4,1.3,1.6,6,0.5,0
"Barbados","BRB",1974,32.3910942077637,,,16753.5,0.700890576903072,0,4,1.2,2.2,5.6,0.5,0
"Barbados","BRB",1975,31.4475517272949,,,15904.7,5.70264513887774,0,4,1.2,2.2,7.1,0.5,0
"Barbados","BRB",1976,30.7792778015137,31,,17000.8,1.58303405262934,0,4,1,1.3,6.4,0.5,0
"Barbados","BRB",1977,30.340784072876,,,17564.8,0.989665830096955,0,4,0.9,1.3,6.6,0.5,0
"Barbados","BRB",1978,30.0445899963379,46.4,,18257.8,1.62785078981798,0,4,1,1.4,7,0.5,0
"Barbados","BRB",1979,29.7611808776855,35.1,,19497.3,0.798134993036877,0,4,1,1.3,6.8,0.5,0
"Barbados","BRB",1980,29.3957805633545,30.9,,20912.9,0.325415488951589,0,4,0.7,1.3,6.4,0.5,0
"Barbados","BRB",1981,28.9323825836182,28.9,-2.42543652297995,20643,0.887058708541072,0,4,0.8,1.5,7,0.5,0
"Barbados","BRB",1982,28.4033813476563,,-1.75659693007537,19295.2,0.469977156001719,0,4,1,1.7,7.2,0.5,0
"Barbados","BRB",1983,27.8257312774658,,-0.859775803531765,19157.2,0.34746522706641,0,4,0.8,1.5,7.5,0.5,0
"Barbados","BRB",1984,27.2306098937988,,-2.39027299815605,19551.6,0.0043670752969694,0,4,0.6,1.5,6.8,0.5,0
"Barbados","BRB",1985,26.6412162780762,,-2.26318462769705,19957,0.404780500946076,0,4,2.7,2.1,5.9,0.5,0
"Barbados","BRB",1986,26.0532398223877,,-1.82294839932058,20528.1,0.589099581255085,0,4,3.4,2.7,6.3,0.5,0
"Barbados","BRB",1987,25.4631576538086,,-1.13297842260807,20816.6,0.490106398977968,0,4,3.6,2.9,5.9,0.5,0
"Barbados","BRB",1988,24.8989315032959,,-1.3185183982511,21706.3,0.749564920126562,0,4,3.7,2.5,6.3,0.5,0
"Barbados","BRB",1989,24.3972549438477,,-1.43777829341453,22652.7,0.49004570034974,0,4,3.6,2.9,8,0.5,0
"Barbados","BRB",1990,23.9800872802734,,-2.46822448980028,21866.9,0.55354615982605,0,4,4.4,3.9,9.8,0.5,0
"Barbados","BRB",1991,23.660228729248,,-1.60306762079104,20535.8,0.368689356774152,0,4,3.1,3.2,8.6,0.5,0
"Barbados","BRB",1992,23.4247760772705,,-2.32146010109281,18304,0.740683786970116,0,4,2.6,2.6,9.2,0.5,0
"Barbados","BRB",1993,23.247896194458,,-1.96116019334291,18672.3,0.459390616390862,0,4,3.5,2.7,12,0.5,0
"Barbados","BRB",1994,23.0905227661133,,-2.53552991664391,19184.1,0.601962978722123,0,4,5.8,4,10.5,0.5,0
"Barbados","BRB",1995,22.9255409240723,,-1.06017689578301,20804.3,0.519458754191833,0,4,4.8,4.5,10.3,0.5,0
"Barbados","BRB",1996,22.7444629669189,,-1.58213567581649,21193.4,0.551438696284659,0,4,4.5,3.6,10.7,0.5,0
"Barbados","BRB",1997,22.5527763366699,,-2.33125709864414,21973.9,0.58055235182025,0,4,4,3.9,10.5,0.5,0
"Barbados","BRB",1998,22.3472881317139,,-2.18087635467106,23493.5,0.547929158505861,0,4,5.5,3.7,11.7,0.5,0
"Barbados","BRB",1999,22.1301937103271,,-1.61202625593665,23222.1,0.576023117958072,0,4,5.5,3.9,11.6,0.5,0
"Barbados","BRB",2000,21.900520324707,,-1.39792044588127,23372.5,0.62189453438051,0,4,4.9,3.9,11.2,0.5,0
"Barbados","BRB",2001,21.658540725708,,-1.75461467055473,23188.9,0.596012659244622,0,4,5,4.2,11,0.5,0
"Barbados","BRB",2002,21.4021759033203,,-1.80573051978394,21593.7,0.549138420753645,,4,4.2,4.1,12.3,0.5,0
"Barbados","BRB",2003,21.1361522674561,,-2.32922319171596,21545.6,1.78069210075813,,4,5.1,4.5,11.5,0.5,0
"Barbados","BRB",2004,20.8636875152588,,-1.41106656558554,22597.6,-0.344758811294413,,4,4.6,4.6,11.8,0.5,0
"Barbados","BRB",2005,20.5893955230713,,,23367.3,6.12261071217525,,4,4.6,4.6,12.1,0.5,0
"Barbados","BRB",2006,20.3129596710205,,,24401.8,7.93325012957661,,4,4.9,4.9,13,0.5,0
"Barbados","BRB",2007,20.0374984741211,,,24541.8,10.0084102799535,,4,,,,0.5,0
"Barbados","BRB",2008,19.7717132568359,,,24509.7,10.1735725418635,,4,,,,0.5,0
"Barbados","BRB",2009,19.5282535552979,,,22913.6,9.97584410111809,,4,,,,0.5,0
"Barbados","BRB",2010,19.3166084289551,47,-1.21966752345851,,15.0850897734398,,4,,,,,0
"Barbados","BRB",2011,19.1388339996338,,-1.8181858526306,,16.5989036141821,,4,,,,0.5,0
"Barbados","BRB",2012,18.9925880432129,,-1.33030792153353,,12.2043622850515,,4,,,,,0
"Belice","BLZ",1970,47.1169357299805,,,4298.08,13.318672323656,1,0,6.1,5,2.6,0,0
"Belice","BLZ",1971,47.2193717956543,,,4448.44,5.64119459549014,1,0,6.5,4.7,3.4,0,0
